Year,data.Geography,data.Industry,Value
2017,data.Northwest Territories,data.Manufacturing [BS3A0],
2018,data.Northwest Territories,data.Manufacturing [BS3A0],
2019,data.Northwest Territories,data.Manufacturing [BS3A0],
2015,data.Northwest Territories,"data.Professional, scientific and technical services [BS540]",0.05786802
2016,data.Northwest Territories,"data.Professional, scientific and technical services [BS540]",0.051813472
2017,data.Northwest Territories,"data.Professional, scientific and technical services [BS540]",0.031764706
2018,data.Northwest Territories,"data.Professional, scientific and technical services [BS540]",0.048407643
2019,data.Northwest Territories,"data.Professional, scientific and technical services [BS540]",0.050632911
2015,data.Northwest Territories,"data.Administrative and support, waste management and remediation services [BS560]",0.080193237
2016,data.Northwest Territories,"data.Administrative and support, waste management and remediation services [BS560]",0.068235294
2017,data.Northwest Territories,"data.Administrative and support, waste management and remediation services [BS560]",0.062411348
2018,data.Northwest Territories,"data.Administrative and support, waste management and remediation services [BS560]",0.058441558
2019,data.Northwest Territories,"data.Administrative and support, waste management and remediation services [BS560]",0.059722222
2015,data.Northwest Territories,data.Other industries,0.003810775
2016,data.Northwest Territories,data.Other industries,0.004026258
2017,data.Northwest Territories,data.Other industries,0.003573024
2018,data.Northwest Territories,data.Other industries,0.003663986
2019,data.Northwest Territories,data.Other industries,0.003780298
2015,data.Nunavut,"data.Total, all industries",0.007809748
2016,data.Nunavut,"data.Total, all industries",0.00970547
2017,data.Nunavut,"data.Total, all industries",0.00673788
2018,data.Nunavut,"data.Total, all industries",0.006385833
2019,data.Nunavut,"data.Total, all industries",0.005306015
2015,data.Nunavut,data.Utilities [BS220],
2016,data.Nunavut,data.Utilities [BS220],
2017,data.Nunavut,data.Utilities [BS220],
2018,data.Nunavut,data.Utilities [BS220],
2019,data.Nunavut,data.Utilities [BS220],
2015,data.Nunavut,data.Engineering construction [BS23C],0.01023622
2016,data.Nunavut,data.Engineering construction [BS23C],0.041304348
2017,data.Nunavut,data.Engineering construction [BS23C],0.009493671
2018,data.Nunavut,data.Engineering construction [BS23C],0.024725275
2019,data.Nunavut,data.Engineering construction [BS23C],0.012394366
2015,data.Nunavut,data.Manufacturing [BS3A0],
2016,data.Nunavut,data.Manufacturing [BS3A0],
2017,data.Nunavut,data.Manufacturing [BS3A0],
2018,data.Nunavut,data.Manufacturing [BS3A0],
2019,data.Nunavut,data.Manufacturing [BS3A0],
2015,data.Nunavut,"data.Professional, scientific and technical services [BS540]",0.048275862
2016,data.Nunavut,"data.Professional, scientific and technical services [BS540]",0.053968254
2017,data.Nunavut,"data.Professional, scientific and technical services [BS540]",0.029333333
2018,data.Nunavut,"data.Professional, scientific and technical services [BS540]",
2019,data.Nunavut,"data.Professional, scientific and technical services [BS540]",
2015,data.Nunavut,"data.Administrative and support, waste management and remediation services [BS560]",0.082706767
2016,data.Nunavut,"data.Administrative and support, waste management and remediation services [BS560]",0.065648855
2017,data.Nunavut,"data.Administrative and support, waste management and remediation services [BS560]",0.061417323
2018,data.Nunavut,"data.Administrative and support, waste management and remediation services [BS560]",0.01512605
2019,data.Nunavut,"data.Administrative and support, waste management and remediation services [BS560]",0.014754098
2015,data.Nunavut,data.Other industries,0.003290165
2016,data.Nunavut,data.Other industries,0.003670337
2017,data.Nunavut,data.Other industries,0.003741385
2018,data.Nunavut,data.Other industries,0.0038262
2019,data.Nunavut,data.Other industries,0.003989867
